"language","engine","variant","hypothesis","term","scheme","compared_with","n_reps","structure","r_mean","r_min","r_max","z_ratio_mean","z_ratio_min","z_ratio_max","est_full_mean","se_full_mean","z_full_mean","est_half_mean","se_half_mean","z_half_mean","n_half_singular","full_singular","r_analytic_N80","verb_floor_share_full"
"Turkish","lmer","selected","h1a","Semantics_scaled","A_verb_split_lists","full data with participant x verb x S_Type cell term",10,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",1.01949,0.977546,1.04869,1.02603,0.869963,1.15535,0.14385,0.0575457,2.49975,0.144949,0.0564751,2.56483,0,FALSE,NA,NA
"Turkish","lmer","selected","h1a","Semantics_scaled","B_random_per_cell","full data with participant x verb x S_Type cell term",5,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",1.0114,0.995975,1.02287,1.00873,0.845907,1.15579,0.14385,0.0575457,2.49975,0.143464,0.0569044,2.52157,0,FALSE,NA,NA
"Turkish","lmer","selected","h1a","Semantics_scaled","C_first_exposure","full data with participant x verb x S_Type cell term",1,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.895482,0.895482,0.895482,1.16927,1.16927,1.16927,0.14385,0.0575457,2.49975,0.187831,0.0642622,2.92288,0,FALSE,NA,NA
"Turkish","lmer","selected","h1a","Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",1.04478,1.00179,1.0747,1.05149,0.891543,1.18401,0.14385,0.0589731,2.43924,0.144949,0.0564751,2.56483,0,FALSE,1.03898,0.884284
"Turkish","lmer","selected","h1a","Semantics_scaled","B_random_per_cell","full data, same model",5,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",1.03649,1.02068,1.04824,1.03375,0.86689,1.18446,0.14385,0.0589731,2.43924,0.143464,0.0569044,2.52157,0,FALSE,NA,NA
"Turkish","lmer","selected","h1a","Semantics_scaled","C_first_exposure","full data, same model",1,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.917695,0.917695,0.917695,1.19828,1.19828,1.19828,0.14385,0.0589731,2.43924,0.187831,0.0642622,2.92288,0,FALSE,NA,NA
"Turkish","lmer","selected","h1a","Semantics_scaled","boot80_A_verb_split_lists","full data, same model",3,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",1.07042,1.05702,1.0781,1.15761,1.05074,1.24526,0.143772,0.0624201,2.3048,0.155573,0.0583115,2.66859,0,FALSE,NA,NA
"Turkish","clmm","clmm","h1b","S_TypeActive:Semantics_scaled","A_verb_split_lists","full data, same model",2,"R ~ S_Type * Semantics_scaled + (1 | Participant) + (1 | VS)",0.954342,0.946,0.962685,0.914531,0.789294,1.03977,-0.238051,0.211634,-1.12483,-0.228411,0.221775,-1.02869,0,FALSE,NA,NA
"Turkish","lmer","maximal","h1b","S_TypeActive:Semantics_scaled","A_verb_split_lists","full data, same model",10,"P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]",0.918365,0.864572,0.983762,0.939101,0.794353,1.05886,-0.119237,0.0426211,-2.7976,-0.122203,0.0464849,-2.62723,5,TRUE,NA,NA
"Turkish","lmer","maximal","h1b","S_TypeActive:Semantics_scaled","C_first_exposure","full data, same model",1,"P[corr:1,Act,PP,Sem,ActSem,PPSem] V[corr:1,Act,PP]",0.835479,0.835479,0.835479,1.09185,1.09185,1.09185,-0.119237,0.0426211,-2.7976,-0.155824,0.0510139,-3.05455,0,TRUE,NA,NA
"Turkish","lmer","selected","h1b","S_TypeActive:Semantics_scaled","A_verb_split_lists","full data with participant x verb x S_Type cell term",10,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.989848,0.905568,1.06001,1.01154,0.838336,1.1201,-0.119237,0.0327443,-3.64144,-0.122203,0.0331596,-3.68345,0,FALSE,NA,NA
"Turkish","lmer","selected","h1b","S_TypeActive:Semantics_scaled","B_random_per_cell","full data with participant x verb x S_Type cell term",5,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.959905,0.937066,0.989255,0.982729,0.801689,1.23563,-0.119237,0.0327443,-3.64144,-0.12174,0.0341278,-3.57855,0,FALSE,NA,NA
"Turkish","lmer","selected","h1b","S_TypeActive:Semantics_scaled","C_first_exposure","full data with participant x verb x S_Type cell term",1,"P[zcp:1,Act,PP,Sem,PPSem] V[zcp:1,Act,PP]",0.870522,0.870522,0.870522,1.13764,1.13764,1.13764,-0.119237,0.0327443,-3.64144,-0.155824,0.0376146,-4.14266,0,FALSE,NA,NA
