"language","analysis","scheme","replicate","variant","engine","structure","hypothesis","term","estimate","se","z","n_participants","n_rows","singular","opt_conv","max_grad","warnings","secs"
"Norwegian","information_loss","full",0,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.276052,0.0588418,-4.69143,57,15048,FALSE,0,NA,"",5.9
"Norwegian","information_loss","full",0,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.172357,0.104076,1.65607,57,15048,FALSE,0,NA,"",12.06
"Norwegian","information_loss","full",0,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.276052,0.0660232,-4.18114,57,15048,FALSE,0,NA,"",12.06
"Norwegian","information_loss","boot80_A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.21422,0.120029,1.78473,80,10560,FALSE,0,NA,"",3.56
"Norwegian","information_loss","boot80_A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.32949,0.0834479,-3.94845,80,10560,FALSE,0,NA,"",3.56
"Norwegian","information_loss","boot80_A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.22156,0.0941366,2.3536,80,10560,FALSE,0,NA,"",5.75
"Norwegian","information_loss","boot80_A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.23361,0.0625476,-3.73491,80,10560,FALSE,0,NA,"",5.75
"Norwegian","information_loss","boot80_A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.131926,0.0945602,1.39516,80,10560,FALSE,0,NA,"",3.83
"Norwegian","information_loss","boot80_A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.299179,0.064519,-4.63707,80,10560,FALSE,0,NA,"",3.83
"Norwegian","information_loss","C_first_exposure",0,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.188381,0.10451,1.80252,57,7524,FALSE,0,NA,"",3.37
"Norwegian","information_loss","C_first_exposure",0,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.29181,0.0663719,-4.39658,57,7524,FALSE,0,NA,"",3.37
"Norwegian","information_loss","A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.147757,0.0977983,1.51083,57,7524,FALSE,0,NA,"",4.7
"Norwegian","information_loss","A_verb_split_lists",1,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.241761,0.0622469,-3.88391,57,7524,FALSE,0,NA,"",4.7
"Norwegian","information_loss","A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.165666,0.0991719,1.6705,57,7524,FALSE,0,NA,"",3.96
"Norwegian","information_loss","A_verb_split_lists",2,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.286052,0.0580202,-4.93022,57,7524,FALSE,0,NA,"",3.96
"Norwegian","information_loss","A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.186437,0.101907,1.82948,57,7524,FALSE,0,NA,"",3.38
"Norwegian","information_loss","A_verb_split_lists",3,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.287009,0.0650805,-4.41005,57,7524,FALSE,0,NA,"",3.38
"Norwegian","information_loss","A_verb_split_lists",4,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.170561,0.0987504,1.72719,57,7524,FALSE,0,NA,"",4.25
"Norwegian","information_loss","A_verb_split_lists",4,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.255703,0.0613691,-4.16664,57,7524,FALSE,0,NA,"",4.25
"Norwegian","information_loss","A_verb_split_lists",5,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.203519,0.102801,1.97972,57,7524,FALSE,0,NA,"",3.49
"Norwegian","information_loss","A_verb_split_lists",5,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.302802,0.0649716,-4.66052,57,7524,FALSE,0,NA,"",3.49
"Norwegian","information_loss","A_verb_split_lists",6,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.159488,0.102368,1.55798,57,7524,FALSE,0,NA,"",4.6
"Norwegian","information_loss","A_verb_split_lists",6,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.260716,0.0633494,-4.11553,57,7524,FALSE,0,NA,"",4.6
"Norwegian","information_loss","A_verb_split_lists",7,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.192528,0.0979579,1.96542,57,7524,FALSE,0,NA,"",3.53
"Norwegian","information_loss","A_verb_split_lists",7,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.310968,0.0662725,-4.69226,57,7524,FALSE,0,NA,"",3.53
"Norwegian","information_loss","A_verb_split_lists",8,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.159423,0.101856,1.56518,57,7524,FALSE,0,NA,"",3.86
"Norwegian","information_loss","A_verb_split_lists",8,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.252332,0.0620595,-4.06597,57,7524,FALSE,0,NA,"",3.86
"Norwegian","information_loss","A_verb_split_lists",9,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.176812,0.110657,1.59784,57,7524,FALSE,0,NA,"",4.36
"Norwegian","information_loss","A_verb_split_lists",9,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.290229,0.0648569,-4.47491,57,7524,FALSE,0,NA,"",4.36
"Norwegian","information_loss","A_verb_split_lists",10,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.140284,0.0997875,1.40583,57,7524,FALSE,0,NA,"",3.9
"Norwegian","information_loss","A_verb_split_lists",10,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.252669,0.0609378,-4.14634,57,7524,FALSE,0,NA,"",3.9
"Norwegian","information_loss","C_first_exposure",0,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.188381,0.107904,1.74583,57,7524,FALSE,0,NA,"",8.08
"Norwegian","information_loss","C_first_exposure",0,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.29181,0.0743764,-3.92342,57,7524,FALSE,0,NA,"",8.08
"Norwegian","information_loss","A_verb_split_lists",1,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.147757,0.101048,1.46224,57,7524,TRUE,0,NA,"",8.85
"Norwegian","information_loss","A_verb_split_lists",1,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.241761,0.0663295,-3.64485,57,7524,TRUE,0,NA,"",8.85
"Norwegian","information_loss","A_verb_split_lists",2,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.165666,0.102965,1.60895,57,7524,TRUE,0,NA,"",8.08
"Norwegian","information_loss","A_verb_split_lists",2,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.286052,0.0652071,-4.38682,57,7524,TRUE,0,NA,"",8.08
"Norwegian","information_loss","A_verb_split_lists",3,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.186437,0.105678,1.7642,57,7524,TRUE,0,NA,"",10.3
"Norwegian","information_loss","A_verb_split_lists",3,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.287009,0.0704781,-4.07231,57,7524,TRUE,0,NA,"",10.3
"Norwegian","information_loss","A_verb_split_lists",4,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.170561,0.102798,1.65918,57,7524,TRUE,0,NA,"",10.2
"Norwegian","information_loss","A_verb_split_lists",4,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.255703,0.0687915,-3.71708,57,7524,TRUE,0,NA,"",10.2
"Norwegian","information_loss","A_verb_split_lists",5,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.203519,0.106011,1.91979,57,7524,FALSE,0,NA,"",14.03
"Norwegian","information_loss","A_verb_split_lists",5,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.302802,0.0718111,-4.21664,57,7524,FALSE,0,NA,"",14.03
"Norwegian","information_loss","A_verb_split_lists",6,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.159488,0.105697,1.50891,57,7524,TRUE,0,NA,"",11.11
"Norwegian","information_loss","A_verb_split_lists",6,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.260716,0.0708122,-3.6818,57,7524,TRUE,0,NA,"",11.11
"Norwegian","information_loss","A_verb_split_lists",7,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.192528,0.10258,1.87686,57,7524,TRUE,0,NA,"",12.77
"Norwegian","information_loss","A_verb_split_lists",7,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.310968,0.072562,-4.28555,57,7524,TRUE,0,NA,"",12.77
"Norwegian","information_loss","A_verb_split_lists",8,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.159423,0.106517,1.49669,57,7524,TRUE,0,NA,"",12.28
"Norwegian","information_loss","A_verb_split_lists",8,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.252332,0.0699556,-3.60704,57,7524,TRUE,0,NA,"",12.28
"Norwegian","information_loss","A_verb_split_lists",9,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.176812,0.113858,1.55291,57,7524,TRUE,0,NA,"",11.26
"Norwegian","information_loss","A_verb_split_lists",9,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.290229,0.0713495,-4.0677,57,7524,TRUE,0,NA,"",11.26
"Norwegian","information_loss","A_verb_split_lists",10,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1a","Semantics_scaled",0.140284,0.102916,1.36309,57,7524,TRUE,0,NA,"",10.21
"Norwegian","information_loss","A_verb_split_lists",10,"maximal","lmer","P[corr:1,Act,Sem,ActSem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.252669,0.0684504,-3.69127,57,7524,TRUE,0,NA,"",10.21
"Norwegian","information_loss","B_random_per_cell",1,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.221776,0.101734,2.17995,57,7524,FALSE,0,NA,"",5.9
"Norwegian","information_loss","B_random_per_cell",1,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.356961,0.0721404,-4.94814,57,7524,FALSE,0,NA,"",5.9
"Norwegian","information_loss","B_random_per_cell",2,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.179588,0.10263,1.74985,57,7524,FALSE,0,NA,"",5.19
"Norwegian","information_loss","B_random_per_cell",2,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.289148,0.0681816,-4.24085,57,7524,FALSE,0,NA,"",5.19
"Norwegian","information_loss","B_random_per_cell",3,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.185089,0.100774,1.83668,57,7524,FALSE,0,NA,"",3.81
"Norwegian","information_loss","B_random_per_cell",3,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.302656,0.0616824,-4.90669,57,7524,FALSE,0,NA,"",3.81
"Norwegian","information_loss","B_random_per_cell",4,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.150284,0.103356,1.45403,57,7524,FALSE,0,NA,"",4.29
"Norwegian","information_loss","B_random_per_cell",4,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.269699,0.0594628,-4.53558,57,7524,FALSE,0,NA,"",4.29
"Norwegian","information_loss","B_random_per_cell",5,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1a","Semantics_scaled",0.192537,0.102054,1.88661,57,7524,FALSE,0,NA,"",3.81
"Norwegian","information_loss","B_random_per_cell",5,"selected","lmer","P[zcp:1,Act,Sem] V[corr:1,Act]","h1b","S_TypeActive:Semantics_scaled",-0.277581,0.0638268,-4.34897,57,7524,FALSE,0,NA,"",3.81
